,division,dept_id,section_id,Line,P10A,,,,,,,P1A,,,,,,,P1B,,,,,,,P1C,,,,,,,P2B,,,,,,,P2R,,,,,,,P3,,,,,,,P5,,,,,,,P6,,,,,,,P7,,,,,,,P8,,,,,,,P9,,,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5)
,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),,,,,,,
,HR & ADM,HR & ADM,ADMIN ASST,0,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0
,,,CLEANER,0,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,,,,,2,1,0,10.98,10.98,16.47,16.47,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,2,0,0,0,0,0,0,15,1,0,10.98,10.98,16.47,16.47
,,,SECU GUARD,0,,,,,,,,2,2,0,21.630000000000003,21.630000000000003,32.445,32.445,,,,,,,,1,1,0,11,11,16.5,16.5,1,0,0,0,0,0,0,,,,,,,,2,2,0,22,22,33,33,,,,,,,,1,1,0,11,11,16.5,16.5,,,,,,,,3,3,0,33,33,49.5,49.5,,,,,,,,10,9,0,98.63,98.63,147.945,147.945
,HR & ADM Total,,,,,,,,,,,3,2,0,21.630000000000003,21.630000000000003,32.445,32.445,1,0,0,0,0,0,0,11,1,0,11,11,16.5,16.5,1,0,0,0,0,0,0,2,1,0,10.98,10.98,16.47,16.47,2,2,0,22,22,33,33,,,,,,,,3,1,0,11,11,16.5,16.5,,,,,,,,3,3,0,33,33,49.5,49.5,2,0,0,0,0,0,0,28,10,0,109.61,109.61,164.415,164.415
,LOGISTIC,WAREHOUSE,FG,0,,,,,,,,,,,,,,,5,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,6,0,0,0,0,0,0,38,0,0,0,0,0,0
,,,FILTER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,7.43,7.43,11.145,11.145,2,1,0,7.43,7.43,11.145,11.145
,,,RECYCLE,0,,,,,,,,,,,,,,,7,0,0,0,0,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,,,,,,,,,,,,,,,4,0,0,0,0,0,0,30,0,0,0,0,0,0
,,,WAREHOUSE,0,,,,,,,,15,12,0,131.73,131.73,197.59500000000003,197.59500000000003,8,1,0,11,11,16.5,16.5,16,3,0,23.08,23.08,34.62,34.62,5,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,15,6,0,66,66,99,99,25,0,0,0,0,0,0,14,4,0,32.24,32.24,48.36,48.36,6,0,0,0,0,0,0,15,0,0,0,0,0,0,131,26,0,264.05,264.05,396.07500000000005,396.07500000000005
,LOGISTIC Total,,,,,,,,,,,15,12,0,131.73,131.73,197.59500000000003,197.59500000000003,20,1,0,11,11,16.5,16.5,33,3,0,23.08,23.08,34.62,34.62,5,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,15,6,0,66,66,99,99,53,0,0,0,0,0,0,15,4,0,32.24,32.24,48.36,48.36,6,0,0,0,0,0,0,27,1,0,7.43,7.43,11.145,11.145,201,27,0,271.48,271.48,407.22,407.22
,MHBU,PRODUCTION,MAINT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,0
